id,pop,origin,seed1,seed2,seed3,seed.avg,est.height1,est.height2,est.height3,est.height.avg,height.1215.1,height.1215.2,height.1215.3,height.1215.avg,est.biomass ,total.seed.mass,num.plants
1,B11,G,13,15,,14,8.2,8,,8.1,20.1,22.2,,21.15,0.0666,0.4984,1
2,B18,F,13,13,15,13.67,7.6,6.6,8.1,7.43,18.6,18.6,19.6,18.93,0.0674,0.494,2
3,B6,F,13,13,,13,7.2,9.2,,8.2,16.3,21.9,,19.1,0.0409,0.2171,1
4,B18,G,13,16,,14.5,8,7.1,,7.55,20.9,19.6,,20.25,0.1176,0.4042,1
5,B11,F,13,14,,13.5,10.6,8.3,,9.45,24.1,20.6,,22.35,0.1067,0.2761,1
6,B1,G,13,14,,13.5,9,9,,9,20.2,22,,21.1,0.0814,0.457,1
7,B6,G,13,15,,14,11.2,9,,10.1,23.6,22.3,,22.95,0.0818,0.2788,1
8,B6,G,14,15,,14.5,9.3,7.7,,8.5,26.9,21.1,,24,0.1316,0.3383,1
9,B18,G,14,15,,14.5,7.3,8,,7.65,17.9,20.3,,19.1,0.0988,0.6418,1
10,B6,F,14,16,,15,4.7,4.1,,4.4,15.2,15.7,,15.45,0.0354,0.3832,1
11,B1,F,12,16,,14,8.3,6.3,,7.3,21.5,17.9,,19.7,0.0898,0.2865,1
12,B11,G,14,14,,14,9.7,8.6,,9.15,26.1,20,,23.05,0.1679,0.2917,1
13,B1,G,13,14,,13.5,9,9,,9,22.4,21.4,,21.9,0.1213,0.5158,1
14,B6,G,14,18,,16,7.1,7.2,,7.15,20.7,22.2,,21.45,0.1031,0.44,1
15,B6,G,15,15,,15,9.1,9.3,,9.2,22,22,,22,0.1297,0.5776,1
16,B18,F,12,13,15,13.33,12,9.6,7.4,9.67,24.4,22.4,23.3,23.37,0.1384,0.665,2
17,B6,F,12,13,,12.5,8.4,8.6,,8.5,22.6,20.7,,21.65,0.1301,0.3023,1
18,B1,F,13,15,,14,7.1,7.4,,7.25,19.7,20.3,,20,0.1295,0.48,1
19,B6,F,13,14,,13.5,5.5,8,,6.75,15.9,18.3,,17.1,0.0525,0,1
20,B1,G,13,15,,14,5.8,8.3,,7.05,15.3,20.2,,17.75,0.0728,0.6115,1
21,B18,G,13,,,13,7.6,,,7.6,20.2,,,20.2,0.1203,0.3391,1
22,B11,G,14,18,,16,9.7,5,,7.35,23.3,20,,21.65,0.1406,0.3075,1
23,B6,F,16,,,16,6.1,,,6.1,18.4,,,18.4,0.0777,NA,NA
24,B18,G,12,16,,14,9,7.1,,8.05,21.9,18.9,,20.4,0.3212,0.6554,1
25,B11,G,15,16,,15.5,8.5,5.6,,7.05,23.6,19.6,,21.6,0.1341,0.5211,1
26,B11,G,14,16,,15,5.7,7.7,,6.7,19.1,21.8,,20.45,0.0987,0.3921,1
27,B1,G,15,16,,15.5,8.6,7,,7.8,21.9,19.1,,20.5,0.1351,0.4392,1
28,B1,F,13,16,,14.5,6.5,5.6,,6.05,20.4,16.7,,18.55,0.1239,0.2605,1
29,B11,G,14,18,,16,9.6,5.5,,7.55,24.2,17.7,,20.95,0.2034,0.2752,1
30,B18,F,12,12,14,12.67,8.9,8.1,10.2,9.07,21.8,18.2,23.7,21.23,0.1209,0.3069,2
31,B18,G,15,16,,15.5,8.5,7.5,,8,23.4,23.2,,23.3,0.1374,0.5485,1
32,B1,F,12,15,,13.5,6.8,5.5,,6.15,16,17.6,,16.8,0.0845,0.2896,1
33,B18,F,13,14,14,13.67,9.3,9.1,8.2,8.87,29,25.9,22.7,25.87,0.206,1.5005,2
34,B6,G,13,23,,18,9.6,1.5,,5.55,26.5,19.8,,23.15,0.1884,0.1725,1
35,B11,F,13,13,,13,10,7.8,,8.9,24.5,21.7,,23.1,0.0889,0.1957,1
36,B1,G,13,15,,14,9.4,4.2,,6.8,24.6,18.6,,21.6,0.1592,0.2117,1
37,B11,F,13,15,,14,9.5,6.8,,8.15,24.6,18.8,,21.7,0.1899,0.4493,1
38,B6,G,15,22,,18.5,9.8,2.1,,5.95,24.3,15.7,,20,0.1978,0.3843,1
39,B1,F,14,16,,15,7.1,7,,7.05,18.7,20.2,,19.45,0.1107,0.6028,1
40,B11,G,16,23,,19.5,8.6,0.2,,4.4,24.7,5.3,,15,0.2382,0.2496,1
41,B11,F,13,13,,13,8,9,,8.5,22.9,23,,22.95,0.1685,0.5721,1
42,B18,G,12,15,,13.5,10.5,8.1,,9.3,29.8,24.4,,27.1,0.2338,0.9422,1
43,B1,F,13,13,,13,6.5,5.8,,6.15,20.1,18,,19.05,0.1308,0.6506,1
44,B1,G,13,19,,16,9.5,6.4,,7.95,26,19.5,,22.75,0.2845,0.608,1
45,B11,F,13,13,,13,10.3,10.6,,10.45,26.2,29,,27.6,0.1432,0.3654,1
46,B6,F,13,13,,13,7.1,5.6,,6.35,20.1,16,,18.05,0.2451,0.0128,1
47,B11,G,12,17,,14.5,8,6,,7,20.2,18.8,,19.5,0.1175,0.7318,1
48,B11,F,14,15,,14.5,7,6.5,,6.75,23.2,24.6,,23.9,0.1687,0.213,1
49,B18,F,12,14,19,15,9.7,8,6.2,7.97,25.5,23,16.6,21.7,0.201,0.7001,2
50,B1,G,15,15,,15,3.5,8.6,,6.05,13.4,23.3,,18.35,0.0399,0.9772,1
51,B1,F,16,,,16,7.1,7.6,,7.35,21.1,25.2,,23.15,0.1596,0.5485,1
52,B1,F,13,15,,14,7.8,6.7,,7.25,19.8,22,,20.9,0.1567,0.6426,1
53,B6,G,14,16,,15,6.7,7.7,,7.2,19.6,20.1,,19.85,0.1956,0.1246,1
54,B18,G,14,14,,14,8.9,8.5,,8.7,21.5,24,,22.75,0.1717,0.4945,1
55,B11,F,13,14,,13.5,8.2,8.7,,8.45,26.1,21.4,,23.75,0.1941,0.0881,1
56,B18,G,13,14,,13.5,7.1,7.8,,7.45,22.4,22,,22.2,0.2569,0.1098,1
57,B6,G,16,16,,16,8.5,6.5,,7.5,21.7,20.9,,21.3,0.262,0.5294,1
58,B18,F,13,13,16,14,8.5,10.5,6.6,8.53,23.9,25.7,13.5,21.03,0.1513,0.2423,1
59,B6,F,13,13,,13,9,7.9,,8.45,23.1,24,,23.55,0.1886,0.9442,1
60,B1,G,14,16,,15,7,7.3,,7.15,18.3,19.1,,18.7,0.0803,0.3894,1
61,B18,F,14,16,,15,6,5.7,8.1,6.6,19.6,18.6,20.5,19.57,0.0991,0.8597,2
62,B18,F,13,15,18,15.33,9.7,8,7.4,8.37,21.4,21.1,21.2,21.23,0.2691,0.4916,2
63,B6,F,12,16,,14,5.7,6.4,,6.05,21.7,17.1,,19.4,0.1444,0.3715,1
