pop,origin,weight,,
B6,G,0.157,,
B6,G,0.15,,
B6,G,0.168,,
B6,G,0.171,,
B6,G,0.162,,
B6,F,0.1225,,
B6,F,0.1224,,
B6,F,0.1273,,
B6,F,0.1264,,
B6,F,0.1291,,
B11,G,0.158,,
B11,G,0.152,,
B11,G,0.142,,
B11,G,0.14,,
B11,G,0.157,,
B11,F,0.0942,,
B11,F,0.1032,,
B11,F,0.1014,,
B11,F,0.0973,,
B11,F,0.0986,,
B18,G,0.159,,
B18,G,0.158,,
B18,G,0.155,,
B18,G,0.156,,
B18,G,0.155,,
B18,F,0.1159,,
B18,F,0.1125,,
B18,F,0.1113,,
B18,F,0.1169,,
B18,F,0.1157,,
B1,G,0.109,,
B1,G,0.111,,
B1,G,0.101,,
B1,G,0.11,,
B1,G,0.1,,
B1,F,0.0888,,
B1,F,0.0887,,
B1,F,0.0877,,
B1,F,0.087,,
B1,F,0.089,,
