id,germ,seed.number,buried,mushy?,prop.mushy,other notes
840,y,0,n,n,0,
932,y,0,n,y,1,all have fungus
941,y,2,y,n,0,"sat on, seed head missing, assume 2"
556,y,35,n,y,1,large plant
569,y,40,n,y,1,
548,y,22,n,y,1,
520,y,42,n,y,1,
540,y,14,n,y,1,
541,y,25,n,y,1,
567,y,7,n,y,1,
516,y,20,n,y,1,
527,y,19,n,y,1,
944,y,19,n,y,1,
502,y,17,n,y,1,
515,y,22,n,y,1,
536,y,16,n,y,1,
632,y,16,n,y,0.13,
712,y,16,n,y,1,
815,y,13,n,y,0.08,
883,y,13,n,y,1,"2 plants; 6, 20; all mushy, averaged"
537,y,12,n,y,1,
555,y,19,n,y,1,
568,y,14,n,y,1,
572,y,17,n,y,1,
591,y,12,n,n,0,
661,y,13,n,n,0,
780,y,12,n,y,1,
873,y,12,n,y,1,
899,y,12,n,y,1,
506,y,11,n,y,1,
524,y,11,n,y,1,
885,y,11,n,y,1,
672,y,9.5,n,n,0,"2 plants; plant#1 8; plant#2 11, averaged"
538,y,9,n,y,1,
816,y,9,n,y,1,
993,y,9,n,y,1,sat on
856,y,9,n,y,1,"2 plants, 1 empty, was 18 but half = 9"
503,y,8,n,y,1,
525,y,8,n,y,1,
532,y,8,n,y,1,
649,y,8,n,n,0,
794,y,8,n,n,0,
809,y,8,n,y,0.25,
845,y,8,n,y,0.25,
535,y,7.67,n,y,1,"3 plants, 1=1 mushy, 2=16 mushy, 3=6 mushy"
505,y,7,n,y,1,
514,y,7,n,y,1,"2 plants, 1 = 8 mushy, 2 = 6 mushy, averaged"
523,y,11,n,y,1,
585,y,7,n,y,1,
830,y,7,n,y,1,
900,y,7,n,y,0.43,
927,y,7,n,y,0.25,"2 plants, 1 = 2 hard 2 mushy, 2 = 10 almost hard, veraged"
968,y,7,n,y,0.83,
522,y,6,n,y,1,anther
542,y,10,n,y,1,"2 plants, 1=9 mushy, 2=3 mushy, averaged"
554,y,14,n,y,1,
749,y,6,n,n,0,
791,y,6,n,y,0.33,
872,y,6,n,y,1,
902,y,6,n,n,0,
814,y,6,n,y,0.33,"2 plants, 1 = 1, 2 = 11, average"
526,y,5.333333333,n,y,1,"3 plants; plant#1 0; plant#2 3; plant#3 13, averaged"
507,y,5,n,y,1,
547,y,5,n,y,1,
602,y,5,n,n,0,"2 plants, one empty"
612,y,5,n,n,0,
647,y,5,n,n,0,
756,y,5,n,n,0,
762,y,5,n,n,0,
823,y,5,n,n,0,
862,y,5,n,y,1,
871,y,5,n,y,0.4,
880,y,5,y,y,0.2,
931,y,5,n,y,1,
938,y,5,n,y,1,
939,y,5,n,y,1,sat on
942,y,5,n,y,1,
787,y,5,n,y,0.4,"2 plants; plant#1 7 hard seeds, plant#2 3 mushy seeds (averaged)"
720,y,4.5,n,y,0.44,"2 plants, 1 = glumes only, 2 = 8 seed, 5 are hard, averaged"
948,y,4.5,n,y,1,"2 plant, 1 = 5 diseased, 2 = 4, averaged"
510,y,4,n,y,1,
518,y,19,n,y,1,
534,y,4,n,y,1,
543,y,4,n,y,1,
550,y,10,n,y,1,big plant but many duds
586,y,4,n,n,0,
587,y,4,n,n,0,
588,y,4,n,y,1,
623,y,4,n,n,0,
662,y,4,n,y,0.5,
683,y,4,n,y,1,
695,y,4,n,y,0.25,"3 mature seeds, 1 mushy seed"
715,y,4,n,n,0,
721,y,4,n,n,0,
722,y,4,n,n,0,
735,y,4,n,n,0,
754,y,4,n,n,0,
767,y,4,n,n,0,
772,y,4,n,n,0,
804,y,4,n,n,0,
813,y,4,n,y,0.75,
865,y,4,n,n,0,"2 plants, 1 plant with 0"
870,y,4,n,n,0,
882,y,4,n,n,0,
894,y,4,n,n,0,
907,y,4,n,n,0,"uncertain large plant, may not be focal one"
911,y,4,n,n,0,
930,y,4,n,n,0,
936,y,4,n,n,0,
946,y,4,n,y,1,
706,y,4,n,n,0,"2 plants, plant#1 0 seeds, plant#2 8 seeds, averaged"
565,y,1,n,y,1,"2 plants, 1=7 mushy, 2=0, averaged"
634,y,3.5,n,7,0.5,"2 plants, 1 = glumes only, 2 = 7 seeds, 4 are hard"
500,y,3,n,y,1,
545,y,3,n,y,1,
584,y,3,n,y,1,
610,y,3,n,n,0,
611,y,3,n,y,0.67,
633,y,3,n,n,0,
670,y,1.5,n,n,0,"another 670, 3 hard seeds (best guess, this 670 came first in the order)"
673,y,3,n,n,0,
685,y,3,n,n,0,
690,y,3,n,n,0,
696,y,3,n,y,0.33,"2 plants, 1 empty"
724,y,3,n,n,0,
727,y,3,n,n,0,
737,y,3,n,n,0,
739,y,3,n,n,0,
746,y,3,n,y,0.1,"2 plants, 1=1 mush, 2=5 hard, averaged"
755,y,3,n,y,0.33,"4 hard seeds, 2 mushy seeds, averaged"
764,y,3,n,y,1,
785,y,3,n,y,1,
793,y,3,n,n,0,
810,y,3,n,n,0,
819,y,3,n,y,1,
826,y,3,y,n,0,
860,y,3,n,n,0,
864,y,3,n,y,1,
866,y,3,n,y,1,
879,y,3,n,y,1,
934,y,3,n,y,0.67,"2 plants, one empty"
937,y,3,n,y,0.67,"sat on, replaced with local population plant"
943,y,3,n,y,1,sat on
966,y,3,n,n,0,
969,y,3,n,y,1,"2 plants, 1 empty (glume)"
533,y,3,n,y,1,"2 plants; plant#1 0; plant#2 6 anthers, large plant, many duds, averaged"
891,y,3,n,n,0,"2 plants, 1 empty (glume), was 6 but half is 3"
769,y,2.5,n,y,0.2,"plant#1 1 seed (mushy), plant#2 4 seeds (hard), averaged"
521,y,2,n,y,1,
530,y,2,n,y,1,
546,y,2,n,y,1,
599,y,2,n,n,0,
608,y,2,n,n,0,
630,y,2,n,n,0,
652,y,2,n,y,1,
666,y,2,n,n,0,
679,y,2,n,n,0,
702,y,2,n,n,0,
705,y,2,n,y,1,
725,y,2,n,n,0,
732,y,2,n,n,0,
740,y,2,n,n,0,
745,y,2,n,n,0,
795,y,2,n,n,0,
805,y,2,n,n,0,
808,y,2,n,y,1,
817,y,2,n,n,0,
825,y,2,n,n,0,
838,y,2,n,n,0,
868,y,2,n,n,0,"2 plants, 1=3 hard seed, 2 = 1hard, averaged"
895,y,2,n,y,1,
896,y,2,n,n,0,
925,y,2,n,n,0,
926,y,2,n,y,0.5,
955,y,2,n,y,1,
672b,y,2,n,y,1,
594,y,1.5,n,n,0,"2 plants, 1 = 1 hard, 2 = 2hard, averaged"
601,y,1.5,n,n,0,"2 plants, plant#1 3 seeds; plant#2 0 seeds, averaged"
915,y,1.5,n,y,1,"2 plants; 1 in plant#1, 2 in plant #2, averaged"
589,y,1,n,n,0,
592,y,1,n,n,0,"glumes only, 1 dded"
600,y,1,n,n,0,"glumes only, 1 added"
626,y,1,n,n,0,
631,y,1,n,n,0,
646,y,1,n,y,1,
664,y,1,n,n,0,glumes only
669,y,1,n,n,0,
682,y,1,n,n,0,glumes only
686,y,1,n,n,0,
687,y,1,n,n,0,
692,y,1,n,n,0,
708,y,1,n,y,1,
719,y,1,n,n,0,
729,y,1,n,n,0,glumes only
730,y,1,n,n,0,
736,y,1,n,n,0,glumes only
742,y,1,n,n,0,3 fungusy also
748,y,1,n,n,0,"2 plants, 1 = 0, 2 = 2hard, averaged"
760,y,1,n,y,1,
766,y,1,n,n,0,
770,y,1,n,n,0,glumes only
782,y,1,n,n,0,
789,y,1,n,n,0,
790,y,1,n,n,0,3 fungus also
796,y,1,n,y,1,
806,y,1,n,y,1,
818,y,1,n,n,0,glumes only
824,y,1,n,n,0,glumes only
837,y,1,n,n,0,"2 plants, 1 empty plant (glumes only), 1 added so averages to 1"
847,y,1,n,n,0,
852,y,1,n,n,0,glumes only
