id,germ,seed.number,buried,prop.mushy,other notes
1,y,0,n,0,
2,y,0,n,0,
3,y,0,n,0,
4,y,0,n,0,
5,n,0,n,0,
6,y,3,n,0,
7,n,0,n,0,lambda that moved
8,y,0,n,0,lots of empty seeds
9,y,0,n,0,
10,y,0,n,0,
11,y,0,n,0,
12,y,9,n,0,
13,y,0,n,0,
14,n,0,n,0,
15,y,0,n,0,
16,n,0,n,0,
17,y,0,n,0,
18,y,0,n,0,
19,y,0,n,0,
20,y,5,n,0,
21,y,0,n,0,
22,y,10,n,1,
23,y,8,n,0.5,
24,n,0,n,0,
25,y,0,n,0,
26,y,0,n,0,
27,y,0,n,0,
28,n,0,n,0,
29,y,4,n,1,
30,n,0,n,0,
31,n,0,n,0,
32,y,0,n,0,
33,y,0,n,0,
34,y,0,n,0,
35,y,14,n,0.642857143,
36,y,0,n,0,
37,y,0,n,0,
38,y,0,n,0,
39,y,0,n,0,
40,y,2,n,1,
41,y,10,n,1,
42,y,0,n,0,
43,y,10,n,1,
44,y,0,n,0,
45,y,0,n,0,2 fungus
46,y,0,n,0,
47,y,0,n,0,
48,y,0,n,0,
49,y,12,n,0.583333333,
50,y,0,n,0,
51,y,0,n,0,
52,n,0,n,0,
53,n,0,n,0,
54,y,6,n,1,
55,n,0,n,0,
56,n,0,n,0,
57,n,0,n,0,
58,y,0,n,0,
59,n,0,n,0,
60,n,0,n,0,
61,y,2,n,1,
62,n,0,n,0,
63,y,0,n,0,
64,y,0,n,0,
65,y,0,y,0,
66,n,0,y,0,
67,y,0,y,0,
68,n,0,y,0,
69,y,0,y,0,
70,y,5,n,1,
72,y,7,n,1,
73,y,0,n,0,many empty
81,y,2,n,1,
82,y,1,n,0,
83,y,3,n,0,
84,y,0,n,0,
85,y,2,n,0.5,
86,y,2,n,1,
87,y,0,n,0,
88,y,0.5,n,1,"2 plants, 1 = 0, 2=1 mushy, avg"
89,y,0,n,0,
90,y,2,n,0,
91,y,4,n,0,
92,n,0,n,0,vulpia
93,y,2,n,1,"2 plants, 1=0, 2 = 4, took avg"
95,y,2,n,1,
96,y,0,n,0,
97,y,3,n,1,
98,y,0,n,0,
99,y,3,n,0.333333333,
100,y,1,n,0,
101,y,0,n,0,
102,y,2,n,0,
103,y,0,n,0,
